participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time
participant_16,Q11,Part 2,4604.458,4656.973,52.515137,True,False,-40.907548000000006,True,False
participant_16,Q12,Part 2,4656.973,4726.158,69.18506,True,False,-25.296664500000006,True,False
participant_16,Q13,Part 2,4726.158,4796.375,70.2168,True,False,-59.49931249999999,True,False
participant_16,Q14,Part 2,4796.375,4833.256,36.88086,True,False,-15.682907499999992,True,False
participant_16,Q15,Part 1,4833.256,4914.2197,80.96387,True,False,-50.906250125,True,False
participant_16,Q2,Part 2,4106.973,4146.9087,39.935547,True,False,5.275637500000002,True,False
participant_16,Q3,Part 1,4146.9087,4209.0767,62.16797,True,False,22.22259500000001,True,False
participant_16,Q4,Part 2,4209.0767,4267.6416,58.56494,True,False,-13.903518624999997,True,False
participant_16,Q5,Part 2,4267.6416,4319.0854,51.443848,True,False,-32.73797499999999,True,False
participant_16,Q6,Part 2,4319.0854,4365.3784,46.29297,True,False,-2.6415825000000055,True,False
participant_16,Q7,Part 1,4365.3784,4435.551,70.17236,True,False,9.099364500000007,True,False
participant_16,Q8,Part 1,4435.551,4498.1675,62.6167,True,False,12.627906249999999,True,False
participant_16,Q9,Part 2,4498.1675,4532.7515,34.583984,True,False,-43.915626249999995,True,False
participant_17,Q1,Part 2,93.62907,197.81746,104.18839,True,False,-50.36237012500002,True,False
participant_17,Q10,Part 2,658.261,729.76697,71.50598,True,False,21.069945000000015,True,False
participant_17,Q11,Part 1,729.76697,805.1705,75.4035,True,False,-23.071903749999997,True,False
participant_17,Q12,Part 2,805.1705,852.2474,47.076904,True,False,-25.296664500000006,True,False
participant_17,Q13,Part 2,852.2474,857.37103,5.123657,True,False,-59.49931249999999,True,False
participant_17,Q14,Part 1,857.37103,915.5343,58.16327,True,False,-14.439941125,True,False
participant_17,Q15,Part 2,915.5343,965.43176,49.89746,True,False,-7.538453000000004,True,False
participant_17,Q2,Part 2,197.81746,262.7717,64.95424,True,False,5.275637500000002,True,False
participant_17,Q3,Part 2,262.7717,324.49078,61.719086,True,False,-5.320869999999985,True,False
participant_17,Q4,Part 2,324.49078,402.10535,77.61456,True,False,-13.903518624999997,True,False
participant_17,Q5,Part 1,402.54105,430.85596,28.31491,True,False,-17.558349749999998,True,False
participant_17,Q6,Part 1,430.85596,503.74817,72.89221,True,False,-16.519976249999978,True,False
participant_17,Q7,Part 2,503.74817,558.95825,55.210083,True,False,-19.12834125,True,False
participant_17,Q8,Part 2,558.95825,598.70496,39.746704,True,False,-13.506705624999995,True,False
participant_17,Q9,Part 1,598.70496,658.261,59.55603,True,False,14.444060250000014,True,False
participant_18,Q1,Part 2,262.72916,304.97687,42.24771,True,False,-50.36237012500002,True,False
participant_18,Q10,Part 2,901.432,962.6467,61.21472,True,False,21.069945000000015,True,False
participant_18,Q11,Part 2,962.6467,1045.9171,83.270386,True,False,-40.907548000000006,True,False
participant_18,Q12,Part 1,1045.9171,1132.9901,87.073,True,False,-33.93513524999999,True,False
participant_18,Q13,Part 2,1132.9901,1169.6036,36.613525,True,False,-59.49931249999999,True,False
participant_18,Q14,Part 2,1169.6036,1205.4999,35.89624,True,False,-15.682907499999992,True,False
participant_18,Q15,Part 1,1205.4999,1226.9822,21.4823,True,False,-50.906250125,True,False
participant_18,Q2,Part 1,305.2514,395.15036,89.89896,True,False,-33.965227500000005,True,False
participant_18,Q3,Part 2,395.15036,431.4965,36.34613,True,False,-5.320869999999985,True,False
participant_18,Q4,Part 2,431.62424,503.8798,72.255554,True,False,-13.903518624999997,True,False
participant_18,Q5,Part 2,503.8798,581.7827,77.90292,True,False,-32.73797499999999,True,False
participant_18,Q6,Part 1,581.7827,674.9514,93.1687,True,False,-16.519976249999978,True,False
participant_18,Q7,Part 2,674.9514,758.1992,83.2478,True,False,-19.12834125,True,False
participant_18,Q8,Part 2,758.1992,841.84894,83.64972,True,False,-13.506705624999995,True,False
participant_18,Q9,Part 1,841.84894,901.432,59.58307,True,False,14.444060250000014,True,False
participant_19,Q1,Part 1,90.80253,174.99591,84.19338,True,False,-15.267332750000005,True,False
participant_19,Q2,Part 1,174.99591,256.91766,81.92175,True,False,-33.965227500000005,True,False
participant_19,Q3,Part 2,256.91766,303.73502,46.817352,True,False,-5.320869999999985,True,False
participant_19,Q4,Part 2,303.73502,328.12332,24.388306,True,False,-13.903518624999997,True,False
participant_19,Q5,Part 2,328.12332,701.7415,373.6182,True,False,-32.73797499999999,True,False
participant_20,Q1,Part 2,578.7309,806.7387,228.00781,True,False,-50.36237012500002,True,False
participant_20,Q10,Part 2,1341.1073,1425.9506,84.84326,True,False,21.069945000000015,True,False
participant_20,Q11,Part 1,1425.9506,1517.2312,91.28064,True,False,-23.071903749999997,True,False
participant_20,Q12,Part 1,1517.2312,1554.9154,37.684204,True,False,-33.93513524999999,True,False
participant_20,Q13,Part 2,1554.9154,1600.8262,45.910767,True,False,-59.49931249999999,True,False
participant_20,Q14,Part 1,1600.8262,1657.7029,56.87671,True,False,-14.439941125,True,False
participant_20,Q15,Part 2,1657.7029,1676.4379,18.734985,True,False,-7.538453000000004,True,False
participant_20,Q2,Part 2,807.52246,849.64984,42.12738,True,False,5.275637500000002,True,False
participant_20,Q3,Part 1,849.64984,918.26117,68.61133,True,False,22.22259500000001,True,False
participant_20,Q4,Part 1,918.26117,987.61743,69.35626,True,False,2.0856787499999783,True,False
participant_20,Q5,Part 2,987.61743,1037.4668,49.849365,True,False,-32.73797499999999,True,False
participant_20,Q6,Part 2,1037.4668,1128.2982,90.83142,True,False,-2.6415825000000055,True,False
participant_20,Q7,Part 2,1128.2982,1178.195,49.89673,True,False,-19.12834125,True,False
participant_20,Q8,Part 2,1178.195,1260.6527,82.45776,True,False,-13.506705624999995,True,False
participant_20,Q9,Part 2,1260.6527,1341.1073,80.45459,True,False,-43.915626249999995,True,False
participant_21,Q1,Part 2,2066.5076,2168.2437,101.736084,True,False,-50.36237012500002,True,False
participant_21,Q10,Part 1,2588.9316,2673.9543,85.022705,True,False,-24.73032000000001,True,False
participant_21,Q11,Part 2,2673.9543,2753.3506,79.39624,True,False,-40.907548000000006,True,False
participant_21,Q12,Part 1,2753.3506,2837.8918,84.54126,True,False,-33.93513524999999,True,False
participant_21,Q13,Part 2,2837.8918,2863.2654,25.373535,True,False,-59.49931249999999,True,False
participant_21,Q14,Part 2,2863.2654,2879.013,15.747559,True,False,-15.682907499999992,True,False
participant_21,Q15,Part 2,2879.013,2910.7036,31.690674,True,False,-7.538453000000004,True,False
participant_21,Q2,Part 2,2168.2437,2205.9426,37.698975,True,False,5.275637500000002,True,False
participant_21,Q3,Part 1,2205.9426,2268.68,62.737305,True,False,22.22259500000001,True,False
