participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time,is_correct,label
participant_20,Q14,Part 1,1600.82617,1657.70288,56.87671,True,False,-14.439928750000348,True,False,1,NP
participant_20,Q15,Part 2,1657.70288,1676.43787,18.734989999999925,True,False,-7.538450000000111,True,False,1,NP
participant_20,Q2,Part 2,807.52246,849.64984,42.12738000000002,True,False,5.275629999999509,True,False,0,UP
participant_20,Q3,Part 1,849.64984,918.26117,68.61132999999995,True,False,22.222594999999387,True,False,1,NP
participant_20,Q4,Part 1,918.26117,987.61743,69.35626000000002,True,False,2.085678749999964,True,False,1,NP
participant_20,Q5,Part 2,987.61743,1037.4668,49.84936999999991,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_20,Q6,Part 2,1037.4668,1128.29822,90.83141999999998,True,False,-2.641577499999663,True,False,0,UP
participant_20,Q7,Part 2,1128.29822,1178.19495,49.89673000000016,True,False,-19.128347499999308,True,False,0,UP
participant_20,Q8,Part 2,1178.19495,1260.65271,82.45776000000001,True,False,-13.50669250000017,True,False,0,UP
participant_20,Q9,Part 2,1260.65271,1341.1073,80.45458999999983,True,False,-43.915629999999766,True,False,0,UP
participant_21,Q1,Part 2,2066.50757,2168.24365,101.73607999999967,True,False,-50.36236749999948,True,False,1,NP
participant_21,Q10,Part 1,2588.93164,2673.95435,85.02271000000019,True,False,-24.730319999999836,True,False,1,NP
participant_21,Q11,Part 2,2673.95435,2753.35059,79.39624000000003,True,False,-40.907541250000634,True,False,0,UP
participant_21,Q12,Part 1,2753.35059,2837.89185,84.54125999999997,True,False,-33.935123749999576,True,False,1,NP
participant_21,Q13,Part 2,2837.89185,2863.26538,25.373529999999846,True,False,-59.499320000000125,True,False,0,UP
participant_21,Q14,Part 2,2863.26538,2879.01294,15.747560000000249,True,False,-15.682910000000703,True,False,1,NP
participant_21,Q15,Part 2,2879.01294,2910.70361,31.690669999999955,True,False,-7.538450000000111,True,False,0,UP
participant_21,Q2,Part 2,2168.24365,2205.94263,37.69898000000012,True,False,5.275629999999509,True,False,1,NP
participant_21,Q3,Part 1,2205.94263,2268.67993,62.73729999999978,True,False,22.222594999999387,True,False,1,NP
participant_21,Q4,Part 1,2268.67993,2346.91089,78.23096000000032,True,False,2.085678749999964,True,False,1,NP
participant_21,Q5,Part 2,2347.35327,2371.32617,23.972899999999754,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_21,Q6,Part 2,2371.32617,2454.02563,82.69946000000027,True,False,-2.641577499999663,True,False,1,NP
participant_21,Q7,Part 1,2454.02563,2484.73755,30.711919999999736,True,False,9.099355000000855,True,False,1,NP
participant_21,Q8,Part 2,2484.73755,2543.6167,58.87915000000021,True,False,-13.50669250000017,True,False,0,UP
participant_21,Q9,Part 2,2543.6167,2588.93164,45.31493999999975,True,False,-43.915629999999766,True,False,0,UP
participant_22,Q1,Part 1,25.33086,103.88533,78.55447,True,False,-15.267338749999706,True,False,1,NP
participant_22,Q10,Part 1,593.26398,661.07166,67.80768,True,False,-24.730319999999836,True,False,1,NP
participant_22,Q11,Part 2,661.07166,679.65448,18.582820000000083,True,False,-40.907541250000634,True,False,0,UP
participant_22,Q12,Part 2,679.65448,709.81555,30.161069999999995,True,False,-25.296670000000063,True,False,0,UP
participant_22,Q13,Part 1,709.81555,741.6405,31.824949999999944,True,False,-36.89351500000005,True,False,1,NP
